mcid,program
MCID3111142965,EE
MCID3111145102,EE
MCID3111146537,EE
MCID3111146674,EE
MCID3111150194,ISE
MCID3111151029,ME
MCID3111156062,CE
MCID3111156083,EE
MCID3111156325,EE
MCID3111158221,ISE
MCID3111158631,CE
MCID3111161034,EE
MCID3111161749,CE
MCID3111162963,ISE
MCID3111163430,ME
MCID3111163631,ME
MCID3111163817,ME
MCID3111164269,ME
MCID3111165699,CE
MCID3111166145,ME
MCID3111178071,EE
MCID3111178149,ISE
MCID3111178599,EE
MCID3111180491,CE
MCID3111180503,EE
MCID3111180773,EE
MCID3111180846,ME
MCID3111180956,ME
MCID3111181053,CE
MCID3111184775,CE
MCID3111185235,CE
MCID3111185297,ME
MCID3111186153,CE
MCID3111186865,ISE
MCID3111186869,ISE
MCID3111188863,CE
MCID3111188912,CE
MCID3111189220,ME
MCID3111189315,CE
MCID3111189615,CE
MCID3111189862,ME
MCID3111189863,CE
MCID3111189912,CE
MCID3111189951,CE
MCID3111190153,ME
MCID3111190337,EE
MCID3111190378,ISE
MCID3111190439,ISE
MCID3111190442,ME
MCID3111190517,EE
MCID3111190632,EE
MCID3111190696,EE
MCID3111190843,ME
MCID3111193350,ME
MCID3111194996,ME
MCID3111195129,ME
MCID3111195218,ME
MCID3111195301,EE
MCID3111195308,ISE
MCID3111195414,EE
MCID3111196437,ME
MCID3111198328,CE
MCID3111199777,ISE
MCID3111199779,CE
MCID3111200258,EE
MCID3111201024,ISE
MCID3111201392,CE
MCID3111201415,ME
MCID3111201939,EE
MCID3111201947,CE
MCID3111202184,EE
MCID3111202473,EE
MCID3111202481,EE
MCID3111202494,ME
MCID3111202504,CE
MCID3111202515,ME
MCID3111202546,ME
MCID3111202553,ISE
MCID3111202571,EE
MCID3111202581,CE
MCID3111202802,ME
MCID3111202840,ISE
MCID3111202841,CE
MCID3111203132,ME
MCID3111203133,CE
MCID3111203468,CE
MCID3111203777,EE
MCID3111203781,ME
MCID3111203801,ME
MCID3111203802,CE
MCID3111204804,CE
MCID3111204810,ME
MCID3111204822,ME
MCID3111204832,CE
MCID3111204834,CE
MCID3111204843,ISE
MCID3111204858,ISE
MCID3111204860,CE
MCID3111204884,ME
MCID3111204938,ME
MCID3111204940,CE
MCID3111204942,EE
MCID3111204954,CE
MCID3111204965,ISE
MCID3111205502,ISE
MCID3111205508,CE
MCID3111205519,ME
MCID3111205529,ME
MCID3111205551,EE
MCID3111205552,CE
MCID3111205559,ISE
MCID3111205562,ME
MCID3111205566,ME
MCID3111205585,EE
MCID3111206066,EE
MCID3111206097,ME
MCID3111206245,ISE
MCID3111206503,CE
MCID3111206506,CE
MCID3111206510,EE
MCID3111206514,ME
MCID3111206518,ME
MCID3111206521,CE
MCID3111206544,ME
MCID3111206562,ME
MCID3111206563,CE
MCID3111206564,CE
MCID3111206906,EE
MCID3111206930,CE
MCID3111206936,ME
MCID3111206947,ME
MCID3111206968,EE
MCID3111207098,CE
MCID3111207120,EE
MCID3111207300,ME
MCID3111207302,ME
MCID3111207303,CE
MCID3111207320,ME
MCID3111207332,EE
MCID3111207338,ISE
MCID3111207456,ME
MCID3111207847,CE
MCID3111208159,ME
MCID3111208170,CE
MCID3111208187,EE
MCID3111208202,ME
MCID3111208209,ME
MCID3111208249,EE
MCID3111208255,ME
MCID3111208463,EE
MCID3111208464,CE
MCID3111208481,CE
MCID3111208483,ME
MCID3111208690,ME
MCID3111208695,CE
MCID3111208698,ME
MCID3111208706,ME
MCID3111208774,CE
MCID3111208792,ME
MCID3111208893,CE
MCID3111208899,ISE
MCID3111208919,ME
MCID3111209062,ME
MCID3111209064,EE
MCID3111209065,EE
MCID3111209067,ME
MCID3111209212,CE
MCID3111209219,EE
MCID3111209472,EE
MCID3111209537,EE
MCID3111209567,EE
MCID3111209568,ME
MCID3111209609,EE
MCID3111212833,ME
MCID3111213000,CE
MCID3111213143,CE
MCID3111213588,CE
MCID3111213604,CE
MCID3111214245,ME
MCID3111214359,ME
MCID3111214472,ME
MCID3111214490,EE
MCID3111214572,ME
MCID3111214596,EE
MCID3111214644,ME
MCID3111214650,EE
MCID3111214701,ME
MCID3111214895,ME
MCID3111214962,ME
MCID3111215020,EE
MCID3111215046,ME
MCID3111215269,ME
MCID3111215304,EE
MCID3111215372,EE
MCID3111215443,CE
MCID3111215468,ME
MCID3111215533,EE
MCID3111215858,EE
MCID3111215946,CE
MCID3111216013,CE
MCID3111216116,EE
MCID3111216263,ME
MCID3111216693,CE
MCID3111216762,CE
MCID3111217029,ME
MCID3111217189,EE
MCID3111217242,CE
MCID3111217681,ME
MCID3111218086,CE
MCID3111218175,CE
MCID3111220581,EE
MCID3111220898,CE
MCID3111222102,EE
MCID3111224604,ME
MCID3111224620,ME
MCID3111224869,CE
MCID3111228864,ME
MCID3111229079,ME
MCID3111229516,ME
MCID3111229543,ME
MCID3111230867,EE
MCID3111230894,EE
MCID3111231271,CE
MCID3111231304,EE
MCID3111232171,EE
MCID3111232182,CE
MCID3111233302,CE
MCID3111233350,ME
MCID3111233729,ME
MCID3111233730,ME
MCID3111233733,CE
MCID3111233792,ME
MCID3111233902,ME
MCID3111233965,EE
MCID3111234384,EE
MCID3111234403,EE
MCID3111234523,ME
MCID3111234579,CE
MCID3111234667,ME
MCID3111234846,EE
MCID3111234919,ME
MCID3111234996,ME
MCID3111235050,CE
MCID3111235202,EE
MCID3111235261,ISE
MCID3111235300,ME
MCID3111235338,ISE
MCID3111235520,ISE
MCID3111238809,CE
MCID3111239249,EE
MCID3111239732,CE
MCID3111239795,EE
MCID3111239913,EE
MCID3111239947,CE
MCID3111239979,CE
MCID3111239986,EE
MCID3111242822,CE
MCID3111243043,CE
MCID3111243307,EE
MCID3111243310,CE
MCID3111243321,EE
MCID3111243327,ISE
MCID3111243747,CE
MCID3111243792,ISE
MCID3111244360,EE
MCID3111244877,ISE
MCID3111244888,ISE
MCID3111244914,ISE
MCID3111245356,CE
MCID3111245361,ME
MCID3111245373,ME
MCID3111245648,ME
MCID3111245941,CE
MCID3111246222,CE
MCID3111246780,EE
