mcid,program,peer_group
MCID3111142965,Electrical,starters
MCID3111145102,Electrical,starters
MCID3111150194,Industrial,starters
MCID3111156083,Electrical,starters
MCID3111156325,Electrical,starters
MCID3111158221,Industrial,starters
MCID3111158631,Mechanical,starters
MCID3111158691,Civil,starters
MCID3111158931,Mechanical,starters
MCID3111160261,Civil,starters
MCID3111161034,Electrical,starters
MCID3111161685,Mechanical,starters
MCID3111161889,Electrical,starters
MCID3111162963,Industrial,starters
MCID3111163631,Industrial,starters
MCID3111163817,Mechanical,starters
MCID3111164269,Mechanical,starters
MCID3111164672,Electrical,starters
MCID3111166145,Mechanical,starters
MCID3111169529,Electrical,starters
MCID3111170418,Mechanical,starters
MCID3111177798,Electrical,starters
MCID3111178149,Industrial,starters
MCID3111178480,Mechanical,starters
MCID3111180503,Electrical,starters
MCID3111180817,Electrical,starters
MCID3111180956,Mechanical,starters
MCID3111181053,Civil,starters
MCID3111181284,Civil,starters
MCID3111181552,Civil,starters
MCID3111187734,Electrical,starters
MCID3111188863,Civil,starters
MCID3111189220,Mechanical,starters
MCID3111189315,Electrical,starters
MCID3111189615,Civil,starters
MCID3111189912,Civil,starters
MCID3111190083,Mechanical,starters
MCID3111190517,Electrical,starters
MCID3111190632,Electrical,starters
MCID3111190747,Industrial,starters
MCID3111195308,Industrial,starters
MCID3111196437,Mechanical,starters
MCID3111198337,Civil,starters
MCID3111199777,Industrial,starters
MCID3111199965,Civil,starters
MCID3111200258,Electrical,starters
MCID3111201415,Mechanical,starters
MCID3111201939,Electrical,starters
MCID3111202494,Mechanical,starters
MCID3111202553,Industrial,starters
MCID3111202581,Mechanical,starters
MCID3111202856,Electrical,starters
MCID3111203218,Mechanical,starters
MCID3111203786,Civil,starters
MCID3111203801,Mechanical,starters
MCID3111204349,Mechanical,starters
MCID3111204843,Electrical,starters
MCID3111204940,Mechanical,starters
MCID3111204976,Mechanical,starters
MCID3111205502,Industrial,starters
MCID3111205508,Civil,starters
MCID3111205552,Civil,starters
MCID3111205559,Industrial,starters
MCID3111205566,Mechanical,starters
MCID3111205609,Electrical,starters
MCID3111206245,Industrial,starters
MCID3111206510,Electrical,starters
MCID3111206518,Mechanical,starters
MCID3111206562,Mechanical,starters
MCID3111206564,Civil,starters
MCID3111206578,Mechanical,starters
