"mcid","institution","term","cip6","level"
"MID25920101","Institution B","20043","270101","03 Junior"
"MID26338020","Institution K","19934","090701","03 Junior"
"MID25861547","Institution B","20063","420101","02 Sophomore"
"MID26580980","Institution J","20045","030103","04 Senior"
"MID26068437","Institution C","20121","190504","04 Senior"
"MID26692254","Institution L","20143","450701","02 Sophomore"
"MID26156415","Institution E","19984","131317","04 Senior"
"MID26323213","Institution E","19994","521401","02 Sophomore"
"MID26041538","Institution C","20031","999999","03 Junior"
"MID25816209","Institution M","19881","520801","02 Sophomore"
"MID26692025","Institution L","20131","131202","04 Senior"
"MID25898914","Institution B","19903","260101","01 Freshman"
"MID26419267","Institution G","20035","141001","03 Junior"
"MID25934290","Institution B","19991","520201","03 Junior"
"MID26593796","Institution J","20003","140102","02 Sophomore"
"MID26440255","Institution H","19981","420101","03 Junior"
"MID25932281","Institution B","19923","240102","01 Freshman"
"MID26401222","Institution G","19983","440701","04 Senior"
"MID26458102","Institution H","20001","420101","03 Junior"
"MID26451138","Institution H","20001","240102","02 Sophomore"
"MID26267712","Institution E","20004","450601","03 Junior"
"MID25874157","Institution B","19921","380101","04 Senior"
"MID26087083","Institution C","20151","240102","01 Freshman"
"MID25908098","Institution B","20003","090401","04 Senior"
"MID26594605","Institution J","20031","131205","04 Senior"
"MID26431392","Institution G","19993","150303","04 Senior"
"MID26070416","Institution C","20121","260102","02 Sophomore"
"MID26004200","Institution C","20003","270501","01 Freshman"
"MID26691066","Institution L","20103","521003","01 Freshman"
"MID26622664","Institution J","20081","520301","03 Junior"
"MID26171165","Institution E","19991","149999","01 Freshman"
"MID26624815","Institution J","20061","451101","01 Freshman"
"MID26389738","Institution F","19984","140801","04 Senior"
"MID26144913","Institution K","20011","430104","01 Freshman"
"MID26374531","Institution F","20031","140901","01 Freshman"
"MID26351084","Institution E","19881","420101","01 Freshman"
"MID26025946","Institution C","19991","140701","03 Junior"
"MID25866228","Institution B","19953","240102","01 Freshman"
"MID26483188","Institution H","20023","131301","03 Junior"
"MID26436831","Institution G","19943","131099","03 Junior"
"MID26180021","Institution K","20033","451101","02 Sophomore"
"MID25859101","Institution B","20073","520201","03 Junior"
"MID26504554","Institution H","19903","090101","04 Senior"
"MID26441149","Institution H","20011","260202","04 Senior"
"MID26591475","Institution J","20003","999999","01 Freshman"
"MID26605765","Institution J","20063","190501","04 Senior"
"MID26471270","Institution H","19946","260701","04 Senior"
"MID26610307","Institution J","20041","520101","02 Sophomore"
"MID26231601","Institution E","20013","149999","01 Freshman"
"MID25784187","Institution M","19885","010901","01 Freshman"
"MID26446901","Institution H","19981","260101","01 Freshman"
"MID26566451","Institution J","19973","040201","03 Junior"
"MID26543586","Institution J","19881","520301","01 Freshman"
"MID26541317","Institution J","19961","140201","04 Senior"
"MID26206074","Institution E","20004","131011","04 Senior"
"MID26200004","Institution E","19944","999999","03 Junior"
"MID25841418","Institution M","19981","030506","03 Junior"
"MID26035327","Institution C","19941","999999","02 Sophomore"
"MID26147525","Institution E","20003","999999","01 Freshman"
"MID26327292","Institution K","19991","520201","02 Sophomore"
"MID25849984","Institution M","19903","160101","02 Sophomore"
"MID26614720","Institution J","20053","140102","02 Sophomore"
"MID26192245","Institution E","20003","099999","02 Sophomore"
"MID26455982","Institution H","20001","090101","03 Junior"
"MID26394532","Institution F","19934","141901","04 Senior"
"MID26581761","Institution J","19963","540101","01 Freshman"
"MID25951915","Institution B","20083","540101","03 Junior"
"MID26395575","Institution F","19923","520205","04 Senior"
"MID25784974","Institution M","19883","131205","02 Sophomore"
"MID25829749","Institution M","19995","420101","03 Junior"
"MID26372418","Institution F","20044","140201","04 Senior"
"MID25860549","Institution B","20053","260901","02 Sophomore"
"MID26088312","Institution C","20143","240102","02 Sophomore"
"MID25977316","Institution B","19981","140101","01 Freshman"
"MID26323027","Institution K","19954","451001","04 Senior"
"MID25819358","Institution M","19946","260502","02 Sophomore"
"MID26452884","Institution H","19981","010901","03 Junior"
"MID26223420","Institution K","19971","513801","03 Junior"
"MID26189302","Institution K","19951","540101","01 Freshman"
"MID26610554","Institution J","20071","140701","04 Senior"
"MID26154883","Institution E","19964","500408","03 Junior"
"MID26254126","Institution K","20033","513801","03 Junior"
"MID26435484","Institution G","20041","520801","02 Sophomore"
"MID26263387","Institution E","19951","520101","01 Freshman"
"MID25901657","Institution B","19993","999999","01 Freshman"
"MID25873709","Institution B","20013","110101","03 Junior"
"MID26439977","Institution H","19981","270501","03 Junior"
"MID26410369","Institution G","20051","010000","04 Senior"
"MID25845197","Institution M","19905","409999","03 Junior"
"MID26323846","Institution K","20024","310505","04 Senior"
"MID26000057","Institution C","20064","260102","03 Junior"
"MID25847220","Institution M","19931","143501","04 Senior"
"MID25848589","Institution M","19903","140102","02 Sophomore"
"MID25848589","Institution M","19921","143501","03 Junior"
"MID25846316","Institution M","19951","143501","04 Senior"
"MID26000057","Institution C","20061","140102","02 Sophomore"
"MID26000057","Institution C","20051","140102","01 Freshman"
"MID25997636","Institution C","19963","310505","03 Junior"
"MID25848589","Institution M","19923","143501","04 Senior"
"MID25995980","Institution C","19911","140102","01 Freshman"
"MID25846316","Institution M","19925","143501","02 Sophomore"
"MID25997636","Institution C","19934","140102","01 Freshman"
"MID25846316","Institution M","19913","140102","02 Sophomore"
"MID26086310","Institution C","20143","140102","01 Freshman"
"MID25997636","Institution C","19973","310505","04 Senior"
"MID25828870","Institution M","19923","140801","04 Senior"
"MID25997636","Institution C","19943","140102","01 Freshman"
"MID25846316","Institution M","19921","143501","02 Sophomore"
"MID25848589","Institution M","19911","143501","02 Sophomore"
"MID25847220","Institution M","19891","140102","01 Freshman"
"MID25848589","Institution M","19913","143501","03 Junior"
"MID25847220","Institution M","19921","143501","04 Senior"
"MID25846316","Institution M","19945","143501","04 Senior"
"MID26000057","Institution C","20073","260102","04 Senior"
"MID25995980","Institution C","19913","140102","02 Sophomore"
"MID25847220","Institution M","19893","140102","02 Sophomore"
"MID25828870","Institution M","19891","140102","02 Sophomore"
"MID25828870","Institution M","19903","140801","04 Senior"
"MID25995980","Institution C","19951","520101","04 Senior"
"MID25997636","Institution C","19953","140102","02 Sophomore"
"MID25847220","Institution M","19916","143501","03 Junior"
"MID25997636","Institution C","19961","310505","03 Junior"
"MID25995980","Institution C","19943","520101","04 Senior"
"MID25846316","Institution M","19911","140102","01 Freshman"
"MID25828870","Institution M","19881","140102","01 Freshman"
"MID26060301","Institution C","20091","140102","01 Freshman"
"MID26000057","Institution C","20053","140102","02 Sophomore"
"MID26086310","Institution C","20141","140102","01 Freshman"
"MID25846316","Institution M","19941","143501","03 Junior"
"MID26000057","Institution C","20071","260102","03 Junior"
"MID25997636","Institution C","19951","140102","02 Sophomore"
"MID25846316","Institution M","19933","143501","03 Junior"
"MID25847220","Institution M","19901","143501","02 Sophomore"
"MID26000057","Institution C","20083","260102","04 Senior"
"MID25848589","Institution M","19933","143501","04 Senior"
"MID25995980","Institution C","19933","520101","03 Junior"
"MID25847220","Institution M","19911","143501","03 Junior"
"MID25995980","Institution C","19923","520101","02 Sophomore"
"MID25828870","Institution M","19901","140801","03 Junior"
"MID25847220","Institution M","19923","143501","04 Senior"
"MID25828870","Institution M","19883","140102","02 Sophomore"
